day,pRate
2012-11-07,49.0
2013-01-06,23.0
2013-01-26,11.0
2013-01-30,46.0
2013-02-01,10.5
2013-02-09,15.0
2013-02-16,11.5
2013-02-17,3.0
2013-02-18,4.0
2013-02-27,4.0
2013-02-28,1.0
2013-03-04,7.0
2013-03-10,17.0
2013-03-11,0.0
2013-03-15,5.0
2013-03-20,0.0
2013-04-01,0.0
2013-04-05,2.0
2013-04-10,4.0
2013-04-11,7.0
2013-04-12,1.0
2013-04-15,1.0
2013-04-17,1.0
2013-04-18,3.0
2013-04-20,4.0
2013-04-21,0.0
2013-04-22,3.5
2013-04-23,14.0
2013-04-24,6.5
2013-04-25,0.0
2013-04-26,0.0
2013-04-27,1.0
2013-04-29,2.5
2013-04-30,2.0
2013-05-01,4.5
2013-05-10,416.5
2013-05-14,5.0
2013-05-15,0.0
2013-05-16,0.0
2013-05-23,0.0
2013-05-24,9.0
2013-05-25,0.0
2013-05-27,1.0
2013-05-30,8.0
2013-06-04,0.5
2013-06-06,0.0
2013-06-07,1.0
2013-06-14,2.25
2013-06-17,0.0
2013-06-18,4.0
2013-06-21,3.0
2013-06-24,1.0
2013-06-25,3.0
2013-06-26,2.0
2013-06-27,0.0
2013-06-28,8.0
2013-07-02,3.6
2013-07-04,0.0
2013-07-06,0.0
2013-07-08,6.5
2013-07-09,0.0
2013-07-15,3.0
2013-07-18,0.0
2013-07-19,4.0
2013-07-23,3.0
2013-07-25,6.0
2013-07-29,5.0
2013-07-30,1.0
2013-08-02,0.5
2013-08-06,0.0
2013-08-09,1.0
2013-08-12,2.5
2013-08-24,2.0
2013-08-25,0.0
2013-08-26,6.0
2013-08-27,3.0
2013-08-28,0.0
2013-08-30,0.0
2013-09-02,4.0
2013-09-04,0.5
2013-09-06,1.0
2013-09-07,0.0
2013-09-08,0.5
2013-09-09,5.0
2013-09-10,1.0
2013-09-11,0.0
2013-09-19,1.5
2013-09-23,1.0
2013-09-26,1.0
2013-09-27,0.0
2013-09-30,12.0
2013-10-02,600.0
2013-10-03,7.0
2013-10-04,13.0
2013-10-07,20.0
2013-10-08,0.0
2013-10-09,1.0
2013-10-18,31.0
2013-10-19,2.5
2013-10-24,75.5
2013-10-26,2.0
2013-10-28,3.0
2013-10-31,2.0
2013-11-02,17.5
2013-11-06,2.0
2013-11-07,5.0
2013-11-08,13.0
2013-11-09,31.0
2013-11-18,95.0
2013-11-21,4.33333333333
2013-11-24,117.0
2013-11-26,12.0
2013-11-28,4.0
2013-12-04,1.0
2013-12-05,298.5
2013-12-06,12.0
2013-12-10,3.0
2013-12-11,3.0
2013-12-12,2924.0
2013-12-17,7.0
2013-12-19,29.0
2013-12-21,123.0
2013-12-23,2.0
2013-12-24,7.0
2013-12-25,26.0
2013-12-27,14.0
2013-12-31,16.0
2014-01-06,5.25
2014-01-21,2.0
2014-01-22,2.0
2014-01-23,10.0
2014-01-26,248.0
2014-02-03,42.0
2014-02-08,7.75
2014-02-09,17.0
2014-03-01,1068.0
2014-03-02,15.3333333333
2014-03-03,69.0
2014-03-04,19.0
2014-03-05,22.5
2014-03-06,72.0
2014-03-07,5.0
2014-03-08,10.0
2014-03-10,8.0
2014-03-11,35.5
2014-03-12,10.0
2014-03-16,20.0
2014-03-17,44.0
2014-03-18,5.5
2014-03-19,24.3333333333
2014-03-22,13.3333333333
2014-03-23,13.5
2014-03-24,19.4
2014-03-25,24.3333333333
2014-03-26,6.5
2014-03-27,6.25
2014-03-28,29.0
2014-03-29,24.0
2014-03-30,10.0
2014-04-01,11.0
2014-04-02,44.0
2014-04-03,5.0
2014-04-04,3.0
2014-04-05,8.6
2014-04-06,4.0
2014-04-07,17.0
2014-04-11,19.0
2014-04-12,6.5
2014-04-13,7.0
2014-04-15,17.6666666667
2014-04-16,159.5
2014-04-17,9.0
2014-04-18,464.0
2014-04-19,6.25
2014-04-20,28.3333333333
2014-04-22,9.0
2014-04-23,162.333333333
2014-04-24,1283.0
2014-04-25,107.0
2014-04-26,71.3333333333
2014-04-27,33.5
2014-04-28,20.0
2014-04-29,56.0
2014-04-30,17.2
2014-05-01,17.75
2014-05-02,23.6
2014-05-03,32.5
2014-05-05,32.4
2014-05-06,9.66666666667
2014-05-07,34.7692307692
2014-05-08,16.25
2014-05-09,13.375
2014-05-10,15.4285714286
2014-05-11,12.7777777778
2014-05-12,14.4
2014-05-13,10.5
2014-05-14,36.25
2014-05-15,48.4285714286
2014-05-26,59.0
2014-05-27,26.6
2014-05-28,38.6666666667
2014-05-29,18.1666666667
2014-05-30,42.9166666667
2014-05-31,12.7272727273
2014-06-01,47.4
2014-06-02,12.4
2014-06-03,22.0
2014-06-04,24.1
2014-06-05,14.3333333333
2014-06-06,28.1428571429
2014-06-07,16.3684210526
2014-06-08,14.0555555556
2014-06-09,13.75
2014-06-10,30.5
2014-06-26,22.3333333333
2014-06-27,16.5555555556
2014-06-28,12.8571428571
2014-06-29,18.0
2014-06-30,84.6
2014-07-01,27.0
2014-07-02,79.8
2014-07-03,16.4
2014-07-04,56.4
2014-07-05,26.75
2014-07-06,49.5
2014-07-07,17.2
2014-07-08,32.6
2014-07-09,21.0
2014-07-10,35.1666666667
2014-07-11,13.25
2014-07-12,34.25
2014-07-13,62.6
2014-07-14,16.375
2014-07-15,36.5
2014-07-16,15.0
2014-07-17,62.6363636364
2014-07-18,21.2222222222
2014-07-19,46.6666666667
2014-07-20,29.8
2014-07-21,91.5
2014-07-22,94.3333333333
2014-07-23,46.3333333333
2014-07-24,23.0
2014-07-25,23.9090909091
2014-07-26,43.1428571429
2014-08-07,28.8333333333
2014-08-08,18.6363636364
2014-08-09,14.2
2014-08-10,9.33333333333
2014-08-11,9.66666666667
2014-08-12,37.75
2014-08-13,23.2857142857
2014-08-14,125.0
2014-08-15,26.5
2014-08-16,21.8333333333
2014-08-17,36.6666666667
2014-08-18,149.0
2014-08-19,20.0
2014-08-20,23.0
2014-08-21,44.5
2014-08-22,22.1428571429
2014-08-23,58.2857142857
2014-08-24,120.0
2014-08-25,235.5
2014-08-26,20.3333333333
2014-08-27,20.5555555556
2014-08-28,62.6
2014-08-29,34.8571428571
2014-08-30,23.8571428571
2014-08-31,28.8
2014-09-01,34.0
2014-09-02,61.5
2014-09-03,27.8333333333
2014-09-04,90.1666666667
2014-09-05,27.2
2014-09-06,18.1428571429
2014-09-07,139.5
2014-09-08,29.3333333333
2014-09-09,162.25
