dates,comments
2012-11-07 22:00:53,49
2013-01-06 16:17:33,23
2013-01-26 21:39:10,11
2013-01-30 22:25:02,46
2013-02-01 20:22:15,1
2013-02-01 20:46:08,20
2013-02-09 22:14:48,15
2013-02-16 01:42:47,12
2013-02-16 01:48:49,11
2013-02-17 23:01:55,3
2013-02-17 23:02:04,2
2013-02-17 23:02:18,6
2013-02-17 23:02:38,1
2013-02-18 16:12:37,9
2013-02-18 16:12:46,3
2013-02-18 16:12:55,3
2013-02-18 16:13:05,2
2013-02-18 16:14:22,2
2013-02-18 16:14:31,5
2013-02-27 19:51:21,4
2013-02-28 00:26:48,2
2013-03-04 17:46:18,7
2013-03-10 15:50:04,17
2013-03-15 19:44:04,5
2013-04-05 20:29:03,2
2013-04-10 03:20:58,7
2013-04-10 03:21:04,1
2013-04-11 22:36:02,7
2013-04-12 00:46:36,1
2013-04-15 03:29:54,3
2013-04-17 18:13:50,1
2013-04-18 16:04:18,3
2013-04-20 14:25:26,3
2013-04-20 14:25:37,5
2013-04-22 03:30:35,1
2013-04-22 18:56:52,5
2013-04-22 19:58:58,6
2013-04-22 23:12:12,2
2013-04-23 23:42:22,14
2013-04-24 22:20:31,13
2013-04-27 16:31:48,2
2013-04-29 20:40:56,4
2013-04-29 22:14:25,1
2013-04-30 12:05:58,3
2013-04-30 17:55:58,1
2013-05-01 17:49:58,9
2013-05-10 13:08:59,832
2013-05-10 15:59:14,1
2013-05-14 18:30:35,5
2013-05-24 18:19:50,9
2013-05-27 17:20:27,1
2013-05-30 17:39:17,8
2013-06-04 12:53:05,1
2013-06-07 17:00:47,1
2013-06-14 15:02:36,1
2013-06-14 15:06:58,6
2013-06-14 23:02:03,2
2013-06-18 16:07:55,4
2013-06-21 15:24:56,3
2013-06-24 13:06:46,1
2013-06-25 15:29:04,3
2013-06-26 20:48:15,2
2013-06-28 22:25:29,8
2013-07-02 16:52:07,3
2013-07-02 18:11:45,10
2013-07-02 18:23:33,3
2013-07-02 19:00:43,2
2013-07-08 16:13:12,5
2013-07-08 17:38:49,8
2013-07-15 19:41:23,3
2013-07-19 13:19:24,4
2013-07-23 15:08:56,3
2013-07-25 14:45:46,6
2013-07-29 16:20:40,5
2013-07-30 15:12:30,1
2013-08-02 00:27:18,1
2013-08-09 19:08:57,3
2013-08-12 19:05:26,1
2013-08-12 19:11:50,4
2013-08-24 18:00:00,2
2013-08-26 18:00:00,6
2013-08-27 17:10:37,3
2013-09-02 18:07:45,8
2013-09-04 14:33:06,1
2013-09-06 18:00:00,1
2013-09-08 16:24:58,1
2013-09-09 16:36:51,7
2013-09-09 19:02:00,3
2013-09-10 18:31:29,1
2013-09-19 04:47:40,2
2013-09-19 14:24:08,1
2013-09-23 17:50:29,1
2013-09-26 17:43:48,1
2013-09-30 18:29:59,12
2013-10-02 18:02:21,600
2013-10-03 19:01:39,7
2013-10-04 14:50:02,8
2013-10-04 20:39:27,31
2013-10-07 17:14:47,40
2013-10-09 15:22:09,1
2013-10-18 20:55:35,31
2013-10-19 17:54:36,1
2013-10-19 18:26:00,4
2013-10-24 16:53:43,9
2013-10-24 22:03:33,142
2013-10-26 02:06:48,2
2013-10-28 20:23:50,3
2013-10-31 17:24:21,2
2013-11-02 05:13:06,2
2013-11-02 16:36:07,33
2013-11-06 19:22:37,2
2013-11-06 22:00:01,2
2013-11-07 19:47:12,5
2013-11-08 02:25:08,13
2013-11-09 18:28:57,31
2013-11-18 20:49:04,95
2013-11-21 00:54:03,8
2013-11-21 00:55:50,5
2013-11-24 07:28:45,117
2013-11-26 04:32:22,12
2013-11-28 00:04:10,4
2013-12-04 18:12:58,1
2013-12-05 00:20:41,1
2013-12-05 20:52:12,596
2013-12-06 16:04:16,12
2013-12-10 16:27:48,3
2013-12-11 12:46:54,3
2013-12-12 14:55:19,2924
2013-12-17 19:21:17,7
2013-12-19 18:39:38,29
2013-12-21 18:11:37,123
2013-12-23 15:34:23,2
2013-12-24 19:42:16,7
2013-12-25 17:38:43,26
2013-12-27 03:34:32,11
2013-12-27 16:06:37,17
2013-12-31 23:45:53,16
2014-01-06 19:45:03,9
2014-01-06 21:35:46,7
2014-01-06 22:16:33,5
2014-01-21 23:33:07,2
2014-01-22 17:58:45,2
2014-01-23 12:30:07,10
2014-01-26 16:26:35,248
2014-02-03 14:54:27,66
2014-02-03 18:25:05,18
2014-02-08 04:19:10,10
2014-02-08 16:28:19,6
2014-02-08 18:30:38,4
2014-02-08 18:32:58,11
2014-02-09 16:32:40,17
2014-03-01 00:31:30,1068
2014-03-02 17:00:09,20
2014-03-02 17:24:09,7
2014-03-02 17:36:01,19
2014-03-03 22:55:38,69
2014-03-04 13:53:51,18
2014-03-04 14:09:22,53
2014-03-04 23:04:56,2
2014-03-04 23:50:08,3
2014-03-05 00:09:15,7
2014-03-05 18:21:34,38
2014-03-06 22:24:07,72
2014-03-07 01:15:03,5
2014-03-08 01:21:05,10
2014-03-10 14:05:18,6
2014-03-10 19:03:26,10
2014-03-11 13:53:02,57
2014-03-11 20:04:12,14
2014-03-12 17:16:51,5
2014-03-12 18:31:59,15
2014-03-16 00:35:05,20
2014-03-17 20:18:10,62
2014-03-17 22:50:38,26
2014-03-18 21:42:35,11
2014-03-19 00:30:29,28
2014-03-19 15:15:24,15
2014-03-19 21:19:36,30
2014-03-22 16:55:02,17
2014-03-22 20:44:31,12
2014-03-22 22:16:45,2
2014-03-22 22:32:39,26
2014-03-22 23:11:44,7
2014-03-22 23:25:26,2
2014-03-22 23:30:46,17
2014-03-22 23:35:28,7
2014-03-22 23:45:13,30
2014-03-23 14:56:29,2
2014-03-23 18:32:24,25
2014-03-24 13:51:23,2
2014-03-24 14:40:46,56
2014-03-24 15:03:05,23
2014-03-24 16:20:04,12
2014-03-24 19:23:00,4
2014-03-25 03:42:32,56
2014-03-25 07:26:39,16
2014-03-25 18:39:53,1
2014-03-26 14:29:37,8
2014-03-26 15:09:26,2
2014-03-26 18:43:53,9
2014-03-26 21:32:36,17
2014-03-26 22:47:49,2
2014-03-26 22:55:53,1
2014-03-27 04:14:57,5
2014-03-27 15:10:07,15
2014-03-27 19:45:15,2
2014-03-27 22:11:45,3
2014-03-28 17:26:14,45
2014-03-28 19:54:16,13
2014-03-29 15:16:25,24
2014-03-30 14:48:59,10
2014-04-01 16:26:26,11
2014-04-02 03:52:50,44
2014-04-03 16:05:09,5
2014-04-04 18:32:05,3
2014-04-05 20:24:41,7
2014-04-05 20:56:02,4
2014-04-05 21:49:58,19
2014-04-05 22:25:24,2
2014-04-05 22:46:11,11
2014-04-06 01:05:24,1
2014-04-06 17:29:18,7
2014-04-07 20:47:42,16
2014-04-07 21:08:18,18
2014-04-11 21:53:27,17
2014-04-11 21:56:05,21
2014-04-12 11:56:31,7
2014-04-12 18:53:17,6
2014-04-13 19:46:43,12
2014-04-13 21:00:27,4
2014-04-13 21:42:31,5
2014-04-15 16:07:34,10
2014-04-15 18:34:48,5
2014-04-15 21:45:41,38
2014-04-16 22:15:27,11
2014-04-16 22:25:00,308
2014-04-17 19:04:22,9
2014-04-18 01:40:31,24
2014-04-18 17:46:01,904
2014-04-19 16:32:39,15
2014-04-19 17:01:49,7
2014-04-19 20:39:41,3
2014-04-20 01:58:06,41
2014-04-20 19:08:58,43
2014-04-20 22:09:17,1
2014-04-22 01:16:43,8
2014-04-22 17:21:46,18
2014-04-22 23:05:00,1
2014-04-23 17:13:54,23
2014-04-23 20:06:39,456
2014-04-23 23:29:25,8
2014-04-24 18:10:06,1
2014-04-24 19:55:38,2565
2014-04-25 20:13:05,107
2014-04-26 16:00:00,70
2014-04-26 16:57:55,43
2014-04-26 22:30:00,101
2014-04-27 17:26:56,38
2014-04-27 23:00:00,29
2014-04-28 16:50:11,20
2014-04-29 14:22:53,92
2014-04-29 22:00:55,20
2014-04-30 13:58:14,19
2014-04-30 15:05:45,10
2014-04-30 18:06:54,35
2014-04-30 18:36:14,6
2014-04-30 22:51:40,16
2014-05-01 00:01:22,20
2014-05-01 01:00:01,11
2014-05-01 13:31:01,25
2014-05-01 17:31:29,15
2014-05-02 01:25:10,10
2014-05-02 14:44:40,33
2014-05-02 18:02:58,3
2014-05-02 19:52:33,59
2014-05-02 23:35:13,13
2014-05-03 14:04:17,47
2014-05-03 22:38:31,18
2014-05-05 00:11:44,66
2014-05-05 13:26:53,6
2014-05-05 15:50:49,53
2014-05-05 21:26:17,23
2014-05-05 23:50:14,14
2014-05-06 15:36:43,14
2014-05-06 17:10:18,4
2014-05-06 18:30:01,7
2014-05-06 20:35:00,7
2014-05-06 22:00:00,4
2014-05-06 22:26:46,29
2014-05-06 23:01:23,3
2014-05-06 23:22:05,15
2014-05-06 23:55:41,4
2014-05-07 00:05:18,37
2014-05-07 00:30:00,23
2014-05-07 02:05:02,29
2014-05-07 03:17:52,14
2014-05-07 13:30:00,4
2014-05-07 15:05:33,55
2014-05-07 15:12:53,7
2014-05-07 16:07:34,64
2014-05-07 17:20:00,2
2014-05-07 18:13:14,22
2014-05-07 19:00:00,27
2014-05-07 20:41:14,167
2014-05-07 22:22:43,1
2014-05-08 00:30:00,11
2014-05-08 02:00:01,23
2014-05-08 14:58:48,14
2014-05-08 15:21:08,3
2014-05-08 18:44:00,9
2014-05-08 19:43:56,52
2014-05-08 22:00:00,2
2014-05-08 23:13:33,16
2014-05-09 00:19:51,23
2014-05-09 02:35:20,16
2014-05-09 14:38:26,11
2014-05-09 18:43:15,21
2014-05-09 19:30:01,11
2014-05-09 20:15:01,20
2014-05-09 22:09:41,5
2014-05-10 01:05:04,46
2014-05-10 10:07:57,8
2014-05-10 13:13:50,8
2014-05-10 17:30:00,24
2014-05-10 18:40:00,13
2014-05-10 19:35:00,3
2014-05-10 20:45:01,6
2014-05-11 01:05:43,15
2014-05-11 01:15:00,5
2014-05-11 02:25:00,2
2014-05-11 12:33:11,25
2014-05-11 14:34:16,3
2014-05-11 18:40:00,8
2014-05-11 19:45:01,3
2014-05-11 20:45:00,12
2014-05-11 22:00:00,42
2014-05-12 01:38:34,8
2014-05-12 15:49:36,2
2014-05-12 18:26:23,28
2014-05-12 20:34:55,20
2014-05-12 23:36:29,14
2014-05-13 15:13:50,11
2014-05-13 20:45:14,10
2014-05-14 19:16:01,52
2014-05-14 21:25:56,22
2014-05-14 22:30:00,64
2014-05-14 22:44:45,7
2014-05-15 01:30:00,22
2014-05-15 02:00:01,32
2014-05-15 12:02:46,15
2014-05-15 14:00:00,14
2014-05-15 18:30:00,12
2014-05-15 19:59:31,199
2014-05-15 21:00:00,45
2014-05-26 00:19:06,66
2014-05-26 17:47:15,95
2014-05-26 18:30:15,39
2014-05-26 22:57:52,36
2014-05-27 01:00:01,48
2014-05-27 17:00:01,30
2014-05-27 18:30:00,10
2014-05-27 19:45:01,29
2014-05-27 22:30:00,16
2014-05-28 00:00:00,68
2014-05-28 01:05:01,19
2014-05-28 12:00:26,40
2014-05-28 21:11:59,19
2014-05-28 22:15:00,8
2014-05-28 23:30:00,78
2014-05-29 00:34:46,2
2014-05-29 01:05:00,11
2014-05-29 01:40:01,13
2014-05-29 02:00:01,62
2014-05-29 03:00:00,6
2014-05-29 15:19:13,8
2014-05-29 18:56:34,6
2014-05-29 19:45:00,1
2014-05-29 20:35:01,23
2014-05-29 22:24:19,57
2014-05-29 22:37:58,29
2014-05-30 00:15:00,54
2014-05-30 00:45:00,102
2014-05-30 01:05:01,169
2014-05-30 01:45:01,25
2014-05-30 02:15:00,19
2014-05-30 18:05:27,8
2014-05-30 19:37:07,53
2014-05-30 21:00:01,10
2014-05-30 22:10:01,9
2014-05-30 23:23:00,60
2014-05-30 23:25:00,6
2014-05-31 00:15:00,22
2014-05-31 02:00:01,23
2014-05-31 13:20:59,15
2014-05-31 14:36:50,9
2014-05-31 15:47:16,6
2014-05-31 16:00:31,15
2014-05-31 16:42:35,10
2014-05-31 18:39:48,9
2014-05-31 21:05:00,3
2014-05-31 21:36:51,21
2014-05-31 23:30:00,7
2014-06-01 00:02:09,13
2014-06-01 00:35:00,3
2014-06-01 13:07:47,35
2014-06-01 14:00:00,8
2014-06-01 15:30:00,20
2014-06-01 16:04:36,347
2014-06-01 17:00:01,6
2014-06-01 18:30:00,8
2014-06-01 20:00:01,26
2014-06-01 21:47:29,8
2014-06-02 15:35:23,8
2014-06-02 17:02:12,7
2014-06-02 18:40:00,3
2014-06-02 20:00:01,12
2014-06-02 22:16:45,32
2014-06-03 03:05:01,2
2014-06-03 13:45:00,15
2014-06-03 16:26:27,15
2014-06-03 18:00:01,67
2014-06-03 22:25:33,11
2014-06-04 00:45:00,15
2014-06-04 01:40:00,10
2014-06-04 02:10:00,4
2014-06-04 13:55:00,31
2014-06-04 17:05:13,140
2014-06-04 17:59:24,7
2014-06-04 19:01:45,14
2014-06-04 19:58:20,7
2014-06-04 22:07:05,1
2014-06-04 23:00:00,12
2014-06-05 00:00:00,5
2014-06-05 00:40:00,3
2014-06-05 01:20:00,23
2014-06-05 02:00:00,12
2014-06-05 13:45:01,56
2014-06-05 15:00:00,3
2014-06-05 16:21:54,3
2014-06-05 17:30:01,21
2014-06-05 19:00:01,16
2014-06-05 21:25:00,14
2014-06-05 21:55:00,4
2014-06-05 22:39:03,12
2014-06-06 00:20:00,32
2014-06-06 02:05:00,25
2014-06-06 13:00:01,5
2014-06-06 15:15:00,4
2014-06-06 18:38:19,11
2014-06-06 21:00:00,2
2014-06-06 21:43:01,118
2014-06-07 00:14:21,59
2014-06-07 01:00:00,12
2014-06-07 03:00:01,12
2014-06-07 04:00:00,33
2014-06-07 14:05:00,13
2014-06-07 15:05:28,36
2014-06-07 15:12:04,33
2014-06-07 16:19:28,10
2014-06-07 16:45:01,1
2014-06-07 16:59:57,7
2014-06-07 19:00:00,30
2014-06-07 19:35:01,8
2014-06-07 20:30:00,2
2014-06-07 21:00:28,9
2014-06-07 21:30:03,8
2014-06-07 21:44:10,9
2014-06-07 23:25:09,14
2014-06-07 23:43:14,15
2014-06-08 00:04:37,12
2014-06-08 00:08:08,6
2014-06-08 00:50:35,10
2014-06-08 00:59:20,11
2014-06-08 02:00:01,15
2014-06-08 02:40:03,29
2014-06-08 16:00:01,5
2014-06-08 18:35:00,2
2014-06-08 20:00:00,7
2014-06-08 21:26:10,13
2014-06-08 21:48:15,7
2014-06-08 22:05:41,10
2014-06-08 22:35:47,12
2014-06-08 22:48:07,8
2014-06-08 22:50:45,44
2014-06-08 23:09:44,13
2014-06-08 23:40:21,20
2014-06-08 23:48:58,29
2014-06-09 14:42:30,18
2014-06-09 18:09:59,14
2014-06-09 20:37:02,21
2014-06-09 22:15:00,2
2014-06-10 00:00:01,17
2014-06-10 02:00:00,48
2014-06-10 14:33:09,101
2014-06-10 14:45:01,10
2014-06-10 16:00:00,9
2014-06-10 18:10:00,9
2014-06-10 20:00:00,12
2014-06-10 20:55:21,25
2014-06-10 21:15:01,15
2014-06-10 22:40:00,59
2014-06-26 22:05:01,6
2014-06-26 22:33:16,22
2014-06-26 23:32:54,39
2014-06-27 01:00:00,3
2014-06-27 01:12:47,31
2014-06-27 01:18:32,16
2014-06-27 13:36:07,11
2014-06-27 14:45:02,22
2014-06-27 18:16:54,6
2014-06-27 20:00:00,4
2014-06-27 21:30:00,3
2014-06-27 23:52:54,53
2014-06-28 03:05:00,12
2014-06-28 14:00:01,12
2014-06-28 15:31:13,7
2014-06-28 16:15:00,9
2014-06-28 16:30:21,14
2014-06-28 18:00:00,12
2014-06-28 20:10:00,24
2014-06-29 15:00:01,20
2014-06-29 17:00:01,15
2014-06-29 18:00:00,42
2014-06-29 19:20:00,4
2014-06-29 23:01:43,9
2014-06-30 00:45:00,9
2014-06-30 14:15:00,6
2014-06-30 16:05:04,226
2014-06-30 21:10:00,97
2014-06-30 23:05:00,85
2014-07-01 01:50:01,28
2014-07-01 12:15:01,7
2014-07-01 15:48:14,32
2014-07-01 16:47:52,72
2014-07-01 19:15:00,12
2014-07-01 21:18:51,13
2014-07-01 23:36:06,25
2014-07-02 14:15:00,83
2014-07-02 15:47:03,33
2014-07-02 17:41:35,34
2014-07-02 18:15:00,197
2014-07-02 20:00:00,52
2014-07-03 00:00:00,20
2014-07-03 13:40:00,13
2014-07-03 18:55:14,2
2014-07-03 21:15:00,19
2014-07-03 22:10:01,28
2014-07-04 03:00:00,38
2014-07-04 14:20:00,53
2014-07-04 15:50:00,81
2014-07-04 19:13:01,98
2014-07-04 21:00:01,12
2014-07-05 14:05:01,44
2014-07-05 17:00:01,20
2014-07-05 22:10:00,28
2014-07-05 23:40:01,15
2014-07-06 19:30:00,66
2014-07-06 22:00:00,33
2014-07-07 13:30:01,16
2014-07-07 15:05:00,34
2014-07-07 18:10:01,17
2014-07-07 22:26:18,3
2014-07-07 23:28:04,16
2014-07-08 00:53:00,10
2014-07-08 01:28:10,30
2014-07-08 20:38:19,19
2014-07-08 21:41:20,80
2014-07-08 22:23:12,24
2014-07-09 14:12:09,35
2014-07-09 14:28:13,20
2014-07-09 16:02:33,3
2014-07-09 16:13:52,4
2014-07-09 20:04:36,6
2014-07-09 22:15:25,58
2014-07-10 15:08:41,6
2014-07-10 19:54:50,92
2014-07-10 20:35:07,14
2014-07-10 21:30:00,16
2014-07-10 22:31:19,10
2014-07-10 23:05:00,73
2014-07-11 00:43:12,79
2014-07-11 01:07:28,1
2014-07-11 01:28:52,2
2014-07-11 01:59:53,2
2014-07-11 14:40:51,5
2014-07-11 15:21:48,7
2014-07-11 15:31:22,8
2014-07-11 18:15:01,2
2014-07-12 14:15:01,20
2014-07-12 18:00:01,24
2014-07-12 20:19:47,66
2014-07-12 20:20:01,27
2014-07-13 13:16:29,31
2014-07-13 14:06:01,69
2014-07-13 17:09:31,144
2014-07-13 18:25:22,17
2014-07-13 19:30:00,52
2014-07-14 14:54:18,2
2014-07-14 15:16:46,3
2014-07-14 15:46:30,6
2014-07-14 16:56:07,10
2014-07-14 17:05:02,15
2014-07-14 19:35:15,34
2014-07-14 20:39:01,13
2014-07-14 22:10:00,48
2014-07-15 01:00:01,20
2014-07-15 14:27:18,63
2014-07-15 17:15:34,88
2014-07-15 18:09:48,22
2014-07-15 18:35:01,20
2014-07-15 20:00:01,21
2014-07-15 21:15:00,32
2014-07-15 23:15:23,26
2014-07-16 00:20:16,11
2014-07-16 03:49:26,26
2014-07-16 14:20:01,25
2014-07-16 18:25:00,31
2014-07-16 20:39:13,2
2014-07-16 22:00:28,10
2014-07-17 00:18:51,33
2014-07-17 00:45:12,12
2014-07-17 01:17:31,9
2014-07-17 01:29:30,62
2014-07-17 01:56:06,15
2014-07-17 02:40:17,11
